<<<<<<< HEAD
Petition,URL,State,Signatures Count,Health,Crime/Safety,Government,Vehicles,Entertainment/Spectation,Socialising/Participation,Education,Environment,Animals
Kristian Johnson’s Law. Life sentences for Death by Careless & Dangerous Driving,https://petition.parliament.uk/petitions/330756,open,12791,,1,,,,,,,
Negotiate continued access to the Erasmus programme for UK teachers and pupils,https://petition.parliament.uk/petitions/330917,open,3101,,,,,,,1,,
Prevent costs of the Park owner Fitness criteria being passed on to residents,https://petition.parliament.uk/petitions/331180,open,1971,,,1,,,,,,
Include Windrush generations in British Nationality Act Remedial Order,https://petition.parliament.uk/petitions/331350,open,10046,,,1,,,,,,
Amend revenge porn law: include distress and embarrassment regardless of intent,https://petition.parliament.uk/petitions/331358,open,1119,,1,,,,,,,
Form Cross Party Emergency Government to deal with Covid 19 then GE with PR,https://petition.parliament.uk/petitions/331650,open,1007,,,1,,,,,,
Stop sexism - Require schools to offer all sports to all children,https://petition.parliament.uk/petitions/331930,open,10589,,,,,,1,,,
Work with international community to end conflict between Azerbaijan and Armenia,https://petition.parliament.uk/petitions/331963,open,1936,,,1,,,,,,
"Legalize Personal Light Electric vehicles (PLEVs) such as e-scooters, EUC, etc.",https://petition.parliament.uk/petitions/332067,open,2145,,,,,,,,1,
Fund free feminine hygiene products for those aged under 25,https://petition.parliament.uk/petitions/332072,open,1333,1,,,,,,,,
Seek to extend the transition period until full review of Russian interference,https://petition.parliament.uk/petitions/332278,open,1271,,,1,,,,,,
Make lying (demonstrable untruths) in the House of Commons a Criminal offence.,https://petition.parliament.uk/petitions/332529,open,1579,,1,,,,,,,
Engage internationally to end bear bile farming,https://petition.parliament.uk/petitions/332653,open,6045,,,,,,,,,1
Protect leaseholders from paying for cladding remedial works,https://petition.parliament.uk/petitions/332674,open,30198,,,1,,,,,,
Reject the proposals for Junction 10 of the A3/M25,https://petition.parliament.uk/petitions/332711,open,46388,,,,,,,,1,
No ID no vote. No to postal votes. ,https://petition.parliament.uk/petitions/332751,open,4236,,,1,,,,,,
Lower the age that breast screening services are offered,https://petition.parliament.uk/petitions/332828,open,13889,1,,,,,,,,
Start a 'Workout to Help Out' initiative,https://petition.parliament.uk/petitions/332902,open,8328,1,,,,,,,,
Stop the plan to include calorie counts on menus,https://petition.parliament.uk/petitions/332940,open,18287,1,,,,,,,,
Hold a referendum on returning devolved powers to the UK Government,https://petition.parliament.uk/petitions/333012,open,5207,,,1,,,,,,
All new drivers must have a black box and be limited to carrying one passenger.,https://petition.parliament.uk/petitions/333041,open,10333,,1,,,,,,,
Work with the US Government to allow travel between the UK and USA,https://petition.parliament.uk/petitions/333054,open,1110,,,,,,1,,,
Add alliums to the list of allergens that must be listed on food labels,https://petition.parliament.uk/petitions/333072,open,1036,1,,,,,,,,
Reform honours forfeiture and mandate automatic forfeiture for racist recipients,https://petition.parliament.uk/petitions/333141,open,2610,,1,,,,,,,
Debate an Online Harms Bill by the end of 2020 and make it law by July 2021,https://petition.parliament.uk/petitions/333146,open,3099,,1,,,,,,,
Defund and abolish CAFCASS,https://petition.parliament.uk/petitions/333193,open,1599,,1,,,,,,,
Fund research into Complex Regional Pain Syndrome (CRPS),https://petition.parliament.uk/petitions/333298,open,2708,1,,,,,,,,
Require health warnings at point of purchase of fossil fuel energy eg. petrol,https://petition.parliament.uk/petitions/333388,open,2492,,,,,,,,1,
Ban the importation of dogs with cropped ears.,https://petition.parliament.uk/petitions/333456,open,40971,,,,,,,,,1
Allow non-cohabiting couples in England to stop distancing (as in Scotland),https://petition.parliament.uk/petitions/333500,open,1038,,,,,,1,,,
 Ban the sale of tickets to attractions holding captive dolphins or whales.,https://petition.parliament.uk/petitions/333621,open,1233,,,,,,,,,1
Ban the shooting of badgers immediately,https://petition.parliament.uk/petitions/333693,open,97699,,,,,,,,,1
Include Solar PV and battery storage in the Greener Homes Grant,https://petition.parliament.uk/petitions/333711,open,1190,,,,,,,,1,
Review social security benefits paid to polygamous families,https://petition.parliament.uk/petitions/333725,open,1098,,,1,,,,,,
Extend the Eat Out to Help Out Scheme to September,https://petition.parliament.uk/petitions/333851,open,14462,,,,,,1,,,
Require local exam centres to accept home-educated students for public exams,https://petition.parliament.uk/petitions/333864,open,10585,,,,,,,1,,
Prevent gyms closing due to a spike in Covid 19 cases,https://petition.parliament.uk/petitions/333869,open,621062,1,,,,,,,,
Include Sickle Cell Anemia in the List of Illnesses Eligible for a MedEx Card,https://petition.parliament.uk/petitions/333926,open,30284,1,,,,,,,,
Fund research into improving the safety of contraceptive options,https://petition.parliament.uk/petitions/333932,open,12255,1,,,,,,,,
Make any sexual contact with an animal a criminal offence,https://petition.parliament.uk/petitions/333945,open,2121,,1,,,,,,,
"Replace UK whistleblowing law, and protect whistleblowers and the public",https://petition.parliament.uk/petitions/333979,open,1450,,,1,,,,,,
Allow free and accessible appeals of GCSE and A Level calculated grades,https://petition.parliament.uk/petitions/334013,open,3250,,,,,,,1,,
Ban the use of rawhide in dog treats in the UK,https://petition.parliament.uk/petitions/334058,open,1891,,1,,,,,,,
Reverse the change to Small Brewers Relief.,https://petition.parliament.uk/petitions/334066,open,51584,,,1,,,,,,
Take action to address the problem of illegal attempts to reach the UK,https://petition.parliament.uk/petitions/334089,open,3327,,,1,,,,,,
Review the approval of fish barriers at Hoveton Great Broad,https://petition.parliament.uk/petitions/334111,open,3264,,,,,,,,1,
Hold a referendum in London on removing the role of Mayor of London,https://petition.parliament.uk/petitions/334242,open,3219,,,1,,,,,,
Allow the return of spectators to football at all levels below national league,https://petition.parliament.uk/petitions/334366,open,13278,,,,,1,,,,
Review state pension entitlements for all women who may have been underpaid,https://petition.parliament.uk/petitions/334388,open,13588,,,1,,,,,,
Allow police forces to release body cam footage to Mass Media and Social Media.,https://petition.parliament.uk/petitions/334431,open,4612,,1,,,,,,,
Reverse all exam grades back to teacher’s own predictions,https://petition.parliament.uk/petitions/334491,open,33943,,,,,,,1,,
"Create a nationwide network of pollinator passages, to form The Bee Superhighway",https://petition.parliament.uk/petitions/441928,open,1025,,,,,,,,,1
Change the UK's Airport slots regulations,https://petition.parliament.uk/petitions/467094,open,8598,,,1,,,,,,
Increase minimum and maximum sentences for all crimes against children,https://petition.parliament.uk/petitions/467154,open,4925,,1,,,,,,,
Fund upgrades to National Bridleway Network : Get Horses Off Roads : Save Lives,https://petition.parliament.uk/petitions/548159,open,7577,,,,,,,,,1
Condemn the Belarus Government for harassment and detention of its citizens,https://petition.parliament.uk/petitions/548196,open,8198,,,1,,,,,,
Compulsory Penalties for Dangerously out of control dogs attacking other animals,https://petition.parliament.uk/petitions/548366,open,3368,,,,,,,,,1
Lower Grade Boundaries for A-Level October Exams,https://petition.parliament.uk/petitions/548422,open,1006,,,,,,,1,,
Make it a specific criminal offence to assault a highway workers,https://petition.parliament.uk/petitions/548480,open,7012,,1,,,,,,,
Allow corporate worship and congregational singing at places of worship,https://petition.parliament.uk/petitions/548621,open,32778,,,,,,1,,,
Tom’s Law - Give police the power to suspend driving licences,https://petition.parliament.uk/petitions/548682,open,64940,,1,,,,,,,
Legislate to BAN leasehold houses & set ground rents of new-build flats to ZERO,https://petition.parliament.uk/petitions/548738,open,16442,,,1,,,,,,
Allow teacher predicted grades for BTEC students,https://petition.parliament.uk/petitions/548778,open,144775,,,,,,,1,,
Save the 250 year old Cubbington pear tree from HS2.,https://petition.parliament.uk/petitions/548834,open,21935,,,,,,,,1,
Life sentence for drivers who do not stop after killing a person on the road,https://petition.parliament.uk/petitions/548837,open,1072,,1,,,,,,,
Extend the time people with implants can claim against manufacturers,https://petition.parliament.uk/petitions/548976,open,4035,1,,,,,,,,
Request a Monarch's pardon for Dic Penderyn.,https://petition.parliament.uk/petitions/548985,open,1515,,,1,,,,,,
Ban Anti-Homeless Architecture,https://petition.parliament.uk/petitions/548998,open,7957,,,1,,,,,,
Extend furlough beyond October for the travel industry.,https://petition.parliament.uk/petitions/549014,open,51480,,,1,,,,,,
Implement a two week school lockdown before 24 December to save Christmas,https://petition.parliament.uk/petitions/549015,open,125201,,,,,,1,,,
Work with other nations to pressure China over their treatment of Uighur Muslims,https://petition.parliament.uk/petitions/549020,open,4954,,,,1,,,,,
Allow driving instructors to pass learners unable to book a test,https://petition.parliament.uk/petitions/549207,open,56320,,,,1,,,,,
Allow Landlords to evict tenants where there are 14 days rent arrears,https://petition.parliament.uk/petitions/549258,open,12413,,,1,,,,,,
Allow people to build low impact and sustainable homes more easily in England,https://petition.parliament.uk/petitions/549342,open,3918,,,,,,,,1,
"Raise the UK state pension to match the UK minimum wage, £16325 per annum",https://petition.parliament.uk/petitions/549463,open,6523,,,1,,,,,,
Establish a peoples scientific and medical panel,https://petition.parliament.uk/petitions/549552,open,12261,,,1,,,,,,
Government to legally require sprinklers in all new build & refurbished schools,https://petition.parliament.uk/petitions/549558,open,2361,,1,,,,,,,
Legal aid should only be available to UK residents,https://petition.parliament.uk/petitions/549606,open,6037,,,1,,,,,,
The Government to fund either a new bridge or repairs for Hammersmith bridge,https://petition.parliament.uk/petitions/549607,open,20109,,,,,,,,1,
Scrap fines for families with vulnerable members that keep children from school,https://petition.parliament.uk/petitions/549629,open,1108,1,,,,,,,,
Review need for social distancing inside theatres before November,https://petition.parliament.uk/petitions/549630,open,6093,,,,,1,,,,
"Test for cervical cell changes, regardless of HPV negative results",https://petition.parliament.uk/petitions/549631,open,13220,1,,,,,,,,
Direct DVSA to fully reopen all driving test centres and release more test slots,https://petition.parliament.uk/petitions/549644,open,2668,,,,1,,,,,
Review and reduce the decibel limit on fireworks sold to the public,https://petition.parliament.uk/petitions/549758,open,6804,,,,,,,,1,
Do not implement proposed changes to Human Medicine Regulations,https://petition.parliament.uk/petitions/549793,open,21992,1,,,,,,,,
Do not implement a second national lockdown or other restrictions this winter,https://petition.parliament.uk/petitions/549862,open,34363,,,1,,,,,,
Review the Personal Independence Payment (PIP) application process.,https://petition.parliament.uk/petitions/549906,open,9634,,,1,,,,,,
Change A-level grades awarded from CAGs to UCAS predicted grades where higher,https://petition.parliament.uk/petitions/550079,open,14989,,,,,,,1,,
Amend rules regarding religiously slaughtered meat,https://petition.parliament.uk/petitions/550099,open,2623,,,,,,,,,1
Extend the Self-Employment Income Support Scheme for the travel industry,https://petition.parliament.uk/petitions/550135,open,1333,,,,,1,,,,
Create a fairer VAT regime for social care,https://petition.parliament.uk/petitions/550241,open,4455,,,1,,,,,,
Ban all unpaid work trial periods ,https://petition.parliament.uk/petitions/550276,open,7474,,,1,,,,,,
Allow the Trustees of the British Museum to accept repatriation requests,https://petition.parliament.uk/petitions/550304,open,2380,,,,,,,,1,
Reduce University student tuition fees from £9250 to £3000,https://petition.parliament.uk/petitions/550344,open,571316,,,,,,,1,,
Protect the UK's dwindling hedgehog population before it's too late.,https://petition.parliament.uk/petitions/550379,open,74508,,,,,,,,,1
Extend the Building Safety Fund to include non-ACM buildings under 18m,https://petition.parliament.uk/petitions/550489,open,2809,,1,,,,,,,
Permit larger weddings based on guests testing negative for COVID-19,https://petition.parliament.uk/petitions/550498,open,60286,,,,,,1,,,
Extend the Stamp Duty Holiday for an additional 6 months after 31st March 2021,https://petition.parliament.uk/petitions/550545,open,140829,,,1,,,,,,
Let there be a referendum for Welsh independence,https://petition.parliament.uk/petitions/550579,open,8141,,,1,,,,,,
Nullify non-disclosure agreements/gagging orders for NHS staff for covid-19,https://petition.parliament.uk/petitions/550598,open,2615,1,,,,,,,,
Fund free meals for vulnerable children in early years settings,https://petition.parliament.uk/petitions/550673,open,3658,,,,,,,1,,
"Ban Supertrawlers from UK waters after leaving the EUs 
Common Fisheries Policy",https://petition.parliament.uk/petitions/550730,open,50023,,,,,,,,1,
"Make children exempt from coronavirus ""rule of six""",https://petition.parliament.uk/petitions/550731,open,14596,,,,,,1,,,
Start a second lockdown including closing schools to prevent spread of COVID,https://petition.parliament.uk/petitions/550736,open,1856,1,,,,,,,,
Schools to have the funding for a full time teaching assistant in every class.,https://petition.parliament.uk/petitions/550807,open,1597,,,,,,,1,,
Reclose schools and colleges due to increase in COVID-19 cases,https://petition.parliament.uk/petitions/550846,open,427478,1,,,,,,,,
Keep Care Leavers Digitally Connected,https://petition.parliament.uk/petitions/550888,open,1379,,,,,,1,,,
Implement select committee recommendations on cladding to protect leaseholders,https://petition.parliament.uk/petitions/550908,open,1036,,1,,,,,,,
Referendum on re-joining the EU,https://petition.parliament.uk/petitions/550951,open,38018,,,1,,,,,,
"Establish a cross-party, cross-discipline panel to scrutinise Covid-19 policies",https://petition.parliament.uk/petitions/551051,open,5329,,,1,,,,,,
Review travel advice and travel corridor list for African countries,https://petition.parliament.uk/petitions/551094,open,6306,,,1,,,,,,
Consider support for swimming clubs due to Covid-19,https://petition.parliament.uk/petitions/551132,open,1224,1,,,,,,,,
Mandatory prison sentence for desecration of war memorials,https://petition.parliament.uk/petitions/551156,open,1263,,1,,,,,,,
"Extend ""rule of six"" to ensure that hunting and shooting are banned",https://petition.parliament.uk/petitions/551212,open,9618,,,,,,,,,1
Legal right to 2 week review of patients with suspected heart failure (HF) ,https://petition.parliament.uk/petitions/551283,open,5515,1,,,,,,,,
Prepare for COVID-19 Human Challenge Trials by Building a Challenge Study Center,https://petition.parliament.uk/petitions/551311,open,1131,1,,,,,,,,
Allow temporary homeschooling during the pandemic without losing school place,https://petition.parliament.uk/petitions/551464,open,1879,,,,,,,1,,
Provide funding and improve procedures for survivors with PTSD/CPTSD,https://petition.parliament.uk/petitions/551467,open,1532,1,,,,,,,,
"In response to the ongoing Covid 19 crisis, form a Government of National Unity",https://petition.parliament.uk/petitions/551504,open,1469,,,1,,,,,,
Referendum on current restrictions and any further lockdowns,https://petition.parliament.uk/petitions/551539,open,1179,,,1,,,,,,
Fund research into metabolism testing for brain tumour patients,https://petition.parliament.uk/petitions/551553,open,2394,1,,,,,,,,
Create a single database of microchipped cats and dogs & make scanning mandatory,https://petition.parliament.uk/petitions/551556,open,14049,,,,,,,,,1
Urge India/the UN to allow UN Peacekeepers to Kashmir to carry out a plebiscite,https://petition.parliament.uk/petitions/551582,open,1185,,,1,,,,,,
Make it mandatory for Police & CPS to provide counselling to ALL victims of CSA,https://petition.parliament.uk/petitions/551584,open,3508,,1,,,,,,,
Access to specialist mental health support for bereaved parents after baby loss.,https://petition.parliament.uk/petitions/551612,open,2887,1,,,,,,,,
Repeal Covid-19 Restrictions on opening hours,https://petition.parliament.uk/petitions/551634,open,4110,,,1,,,,,,
Give leaseholders more legal protection and consumer rights,https://petition.parliament.uk/petitions/551675,open,4501,,,1,,,,,,
Suspend fines for school non-attendance during Covid-19 & allow parental choice,https://petition.parliament.uk/petitions/551740,open,6341,,,,,,,1,,
Publish how many people have died solely from Covid-19,https://petition.parliament.uk/petitions/551788,open,2062,,,1,,,,,,
Publish false positive and negative Covid-19 test data for Pillar 2,https://petition.parliament.uk/petitions/552013,open,11029,1,,,,,,,,
Stop Forestry England granting licenses for Fox & Hare hunts,https://petition.parliament.uk/petitions/552017,open,62365,,,,,,,,,1
Fund & provide services to allow the vulnerable to shield & re-open the economy,https://petition.parliament.uk/petitions/552023,open,1465,,,1,,,,,,
Allow football fans to attend matches at all levels,https://petition.parliament.uk/petitions/552036,open,200308,,,,,1,,,,
Mandatory Autism awareness training for mainstream schools,https://petition.parliament.uk/petitions/552054,open,11894,1,,,,,,,,
"Place supermarket alcohol
Sales under the same restrictions as public houses.",https://petition.parliament.uk/petitions/552131,open,1072,,,,,,1,,,
Compensation for the Wedding Sector due to Government intervention/restrictions,https://petition.parliament.uk/petitions/552166,open,3682,,,,,,1,,,
Keep schools open - Give us our right to full time education back,https://petition.parliament.uk/petitions/552187,open,7631,,,,,,,1,,
Create a Minister for Hospitality in the UK Government,https://petition.parliament.uk/petitions/552201,open,209096,,,1,,,,,,
The UK government should apply via Article 49 to rejoin the EU,https://petition.parliament.uk/petitions/552263,open,4246,,,1,,,,,,
Enshrine tree planting target in law,https://petition.parliament.uk/petitions/552296,open,5175,,,,,,,,1,
Scrap the Sovereign Grant in favour of proper annual budgeting for the monarchy.,https://petition.parliament.uk/petitions/552304,open,3735,,,1,,,,,,
Remove guidance and funding for temporary traffic measures that cause congestion,https://petition.parliament.uk/petitions/552306,open,27528,,,,,,,,1,
Ban the redevelopment of agricultural land. Protect it for food production.,https://petition.parliament.uk/petitions/552333,open,1279,,,,,,,,1,
Ensure mental health care is available for all children having cancer treatment.,https://petition.parliament.uk/petitions/552373,open,1206,1,,,,,,,,
Create a UK Jobs Guarantee Scheme covering every young person in need of work,https://petition.parliament.uk/petitions/552391,open,5457,,,1,,,,,,
Extend the suspension of the Universal Credit Minimum Income Floor,https://petition.parliament.uk/petitions/552461,open,4153,,,1,,,,,,
Give children and parents automatic rights to equal contact after separation,https://petition.parliament.uk/petitions/552465,open,7931,,,1,,,,,,
Prioritise carers of vulnerable people to receive a Covid vaccine when available,https://petition.parliament.uk/petitions/552473,open,4066,1,,,,,,,,
Legalise growing cannabis plants in a person’s home for personal use,https://petition.parliament.uk/petitions/552618,open,4118,1,,,,,,,,
Make it illegal to chain or tether a dog,https://petition.parliament.uk/petitions/552683,open,1950,,,,,,,,,1
Exempt small pubs from table service regulations,https://petition.parliament.uk/petitions/552687,open,1184,,,,,,1,,,
Review and fund improved diagnosis and treatment of ADHD,https://petition.parliament.uk/petitions/552719,open,13485,1,,,,,,,,
HM Government to outline a plan to Save Future Travel,https://petition.parliament.uk/petitions/552725,open,20156,,,1,,,,,,
Delay implementation of IR35 legislation reform until COVID-19 is resolved,https://petition.parliament.uk/petitions/552730,open,17816,,,1,,,,,,
Ensure access to treatment and screening for all cancer patients during Covid-19,https://petition.parliament.uk/petitions/552734,open,37215,1,,,,,,,,
Financial support for Outdoor Residential Centres during closure,https://petition.parliament.uk/petitions/552754,open,8560,1,,,,,,,,
Review and reform Public Space Protection Orders,https://petition.parliament.uk/petitions/552758,open,2180,,,,,,,,1,
Government subsidise this year's university tuition fees,https://petition.parliament.uk/petitions/552814,open,1870,,,,,,,1,,
Fund Spinraza for all SMA patients on the NHS,https://petition.parliament.uk/petitions/552816,open,4963,1,,,,,,,,
Review all local neurological care for children ,https://petition.parliament.uk/petitions/552836,open,2145,1,,,,,,,,
Lower university tuition fees for students until online teaching ends,https://petition.parliament.uk/petitions/552911,open,170359,,,,,,,1,,
Require housing element of Universal Credit to be sent directly to the landlord,https://petition.parliament.uk/petitions/552939,open,1172,,,1,,,,,,
Extend eligibility for MedEx certificates to people with hyperthyroidism,https://petition.parliament.uk/petitions/553013,open,1042,1,,,,,,,,
Provide funding to make bevacizumab and biosimilars available on NHS,https://petition.parliament.uk/petitions/553017,open,2209,1,,,,,,,,
Prioritise full association with EU scientific programmes post-transition,https://petition.parliament.uk/petitions/553022,open,3308,,,,,,,1,,
Ban surface dressing to protect riders on two wheels,https://petition.parliament.uk/petitions/553051,open,1241,,1,,,,,,,
Ban plastic label and clothing fasteners and incentivise reuse of plastic items.,https://petition.parliament.uk/petitions/553065,open,4323,,,,,,,,1,
Habitat Protection - Public inquiry and reform of protections,https://petition.parliament.uk/petitions/553090,open,1490,,,,,,,,1,
Urge Azerbaijan and Turkey to end military action in Nagorno-Karabakh,https://petition.parliament.uk/petitions/553122,open,2070,,,1,,,,,,
Require and fund the local provision of swimming and leisure facilities,https://petition.parliament.uk/petitions/553123,open,4875,1,,,,,,,,
Review and reform Child and Adolescent Mental Health Services,https://petition.parliament.uk/petitions/553177,open,3378,1,,,,,,,,
 Place the UAE on the UK Travel Corridor list,https://petition.parliament.uk/petitions/553192,open,22241,,,1,,,,,,
Extend furlough scheme for the Cinema industry,https://petition.parliament.uk/petitions/553253,open,3365,,,,,1,,,,
Enable all students to end university tenancy agreements early due to Covid-19.,https://petition.parliament.uk/petitions/553285,open,67582,,,,,,,1,,
To make it a law that all schools need bollards outside for child safety,https://petition.parliament.uk/petitions/553305,open,4837,,1,,,,,,,
Base 2021 GCSE and A-Level Grades on Teacher Considerations and Mock Grades,https://petition.parliament.uk/petitions/553307,open,2056,,,,,,,1,,
Re-open and extend the Food Charities Grant Fund to fight hunger in London,https://petition.parliament.uk/petitions/553410,open,1506,1,,,,,,,,
Allow children's parties to continue within a class bubble,https://petition.parliament.uk/petitions/553427,open,1991,,,,,,1,,,
Allow spectators back into watch British horse racing at racecourses,https://petition.parliament.uk/petitions/553455,open,3629,,,,,1,,,,
Remove Covid-19 restrictions on support groups such as Alcoholics Anonymous,https://petition.parliament.uk/petitions/553463,open,4383,1,,,,,,,,
